experiment_name,backend,mpi_ranks,omp_threads,num_qubits,circuit_depth,num_cuts,total_tasks,batch_size,chunk_records,compute_seconds,write_seconds,read_seconds,total_seconds,global_sum,records_written,bytes_written,files_created,tasks_per_second,max_buffer_mb
memory_mpi1_b16384_c16384_cuts8_t8_rep0,memory,1,8,28,120,8,50000000,16384,16384,3.264759,1.849802,0.124835,5.296924,0.000027,50000000,3200000000,0,9439440.847940,3051.757812
memory_mpi1_b16384_c16384_cuts8_t12_rep0,memory,1,12,28,120,8,50000000,16384,16384,3.325117,1.846832,0.122945,5.351397,0.000027,50000000,3200000000,0,9343355.085263,3051.757812
memory_mpi1_b16384_c65536_cuts4_t4_rep0,memory,1,4,28,120,4,599837,16384,65536,0.038863,0.026295,0.001467,0.067824,-0.010880,599837,38389568,0,8844059.015222,36.611145
memory_mpi1_b16384_c65536_cuts4_t8_rep0,memory,1,8,28,120,4,599837,16384,65536,0.039862,0.025564,0.001407,0.067983,-0.010880,599837,38389568,0,8823335.332166,36.611145
memory_mpi1_b16384_c65536_cuts4_t12_rep0,memory,1,12,28,120,4,599837,16384,65536,0.039867,0.025346,0.001591,0.067966,-0.010880,599837,38389568,0,8825505.261011,36.611145
memory_mpi1_b16384_c65536_cuts6_t4_rep0,memory,1,4,28,120,6,9597401,16384,65536,0.624116,0.426506,0.023177,1.085111,-0.015582,9597401,614233664,0,8844629.709705,585.778870
memory_mpi1_b16384_c65536_cuts6_t8_rep0,memory,1,8,28,120,6,9597401,16384,65536,0.632244,0.426202,0.023213,1.093207,-0.015582,9597401,614233664,0,8779122.879511,585.778870
memory_mpi1_b16384_c65536_cuts6_t12_rep0,memory,1,12,28,120,6,9597401,16384,65536,0.638752,0.426255,0.023540,1.100115,-0.015582,9597401,614233664,0,8724000.554666,585.778870
memory_mpi1_b16384_c65536_cuts8_t4_rep0,memory,1,4,28,120,8,50000000,16384,65536,3.218336,1.848243,0.123809,5.246965,0.000027,50000000,3200000000,0,9529317.610967,3051.757812
memory_mpi1_b16384_c65536_cuts8_t8_rep0,memory,1,8,28,120,8,50000000,16384,65536,3.270483,1.853877,0.126051,5.307019,0.000027,50000000,3200000000,0,9421485.014687,3051.757812
